WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
12;61;01;1;0950463;00537;ul.;Babinicza;;2021-11-27
12;61;01;1;0950463;00539;ul.;Babińskiego;dr. Józefa;2021-11-27
12;61;01;1;0950463;00548;ul.;Bacewiczówny;Grażyny;2021-11-27
12;61;01;1;0950463;00551;ul.;Bachledy;Klimka;2021-11-27
12;61;01;1;0950463;00569;ul.;Baczyńskiego;Krzysztofa Kamila;2021-11-27
12;61;01;1;0950463;00572;ul.;Badurskiego;Andrzeja;2021-11-27
12;61;01;1;0950463;00579;ul.;Bagatela;;2021-11-27
12;61;01;1;0950463;00584;ul.;Bagienna;;2021-11-27
12;61;01;1;0950463;00594;ul.;Bagrowa;;2021-11-27
12;61;01;1;0950463;00600;ul.;Bajana;Jerzego;2021-11-27
12;61;01;1;0950463;00605;ul.;Bajeczna;;2021-11-27
12;61;01;1;0950463;36703;ul.;Bakałarzy;;2021-11-27
12;61;01;1;0950463;32833;ul.;Balanówka;;2021-11-27
12;61;01;1;0950463;00629;ul.;Balicka;;2021-11-27
12;61;01;1;0950463;00631;ul.;Balickiego;Stanisława;2021-11-27
12;61;01;1;0950463;00639;ul.;Balladyny;;2021-11-27
12;61;01;1;0950463;00656;ul.;Bałtycka;;2021-11-27
12;61;01;1;0950463;00661;ul.;Bałuckiego;Michała;2021-11-27
12;61;01;1;0950463;00666;ul.;Banacha;Stefana;2021-11-27
12;61;01;1;0950463;00669;ul.;Banachiewicza;Tadeusza;2021-11-27
12;61;01;1;0950463;00681;ul.;Bandtkiego;Jerzego Samuela;2021-11-27
12;61;01;1;0950463;53007;ul.;Bandurskiego;ks. bpa Władysława;2021-11-27
12;61;01;1;0950463;00706;ul.;Baranieckiego;Adriana;2021-11-27
12;61;01;1;0950463;00727;ul.;Barbary;;2021-11-27
12;61;01;1;0950463;00750;ul.;Bardosa;;2021-11-27
12;61;01;1;0950463;00752;ul.;Bardowskiego;Piotra;2021-11-27
12;61;01;1;0950463;00777;ul.;Barska;;2021-11-27
12;61;01;1;0950463;52990;ul.;Bartla;Profesora Wojciecha Marii;2021-11-27
12;61;01;1;0950463;00801;ul.;Bartnicza;;2021-11-27
12;61;01;1;0950463;00802;ul.;Bartników;;2021-11-27
12;61;01;1;0950463;00807;ul.;Bartosza;;2021-11-27
12;61;01;1;0950463;00822;ul.;Barty;płk.;2021-11-27
12;61;01;1;0950463;00831;ul.;Barwinkowa;;2021-11-27
12;61;01;1;0950463;00834;ul.;Barwna;;2021-11-27
12;61;01;1;0950463;00836;ul.;Barycka;;2021-11-27
12;61;01;1;0950463;36704;ul.;Barycza;Henryka;2021-11-27
12;61;01;1;0950463;56297;ul.;Basistówka;;2021-11-27
12;61;01;1;0950463;00858;ul.;Bastionowa;;2021-11-27
12;61;01;1;0950463;00861;ul.;Basztowa;;2021-11-27
12;61;01;1;0950463;00864;ul.;Baśniowa;;2021-11-27
12;61;01;1;0950463;00868;ul.;Batalionów Chłopskich;;2021-11-27
12;61;01;1;0950463;00872;ul.;Batalionu "Parasol";;2021-11-27
12;61;01;1;0950463;00875;ul.;Batalionu "Skała" AK;;2021-11-27
12;61;01;1;0950463;00877;ul.;Batalionu "Zośka";;2021-11-27
12;61;01;1;0950463;00883;ul.;Batki;Mariana;2021-11-27
12;61;01;1;0950463;00896;ul.;Batowicka;;2021-11-27
12;61;01;1;0950463;00910;ul.;Bazarowa;;2021-11-27
12;61;01;1;0950463;29923;ul.;Baziaka;Eugeniusza;2021-11-27
12;61;01;1;0950463;00921;ul.;Bażancia;;2021-11-27
12;61;01;1;0950463;34369;ul.;Bażanki;Kaspra;2021-11-27
12;61;01;1;0950463;00943;ul.;Bąkowskiego;Klemensa;2021-11-27
12;61;01;1;0950463;00953;ul.;Becka;Józefa;2021-11-27
12;61;01;1;0950463;00956;ul.;Bednarska;;2021-11-27
12;61;01;1;0950463;00985;ul.;Bellerta;Józefa;2021-11-27
12;61;01;1;0950463;00991;ul.;Belwederczyków;;2021-11-27
12;61;01;1;0950463;01005;ul.;Bełzy;Władysława;2021-11-27
12;61;01;1;0950463;01014;ul.;Bema;gen. Józefa;2021-11-27
12;61;01;1;0950463;01018;ul.;Benedykta;św.;2021-11-27
12;61;01;1;0950463;01020;ul.;Benedyktowicza;Ludomira;2021-11-27
12;61;01;1;0950463;01023;ul.;Benedyktyńska;;2021-11-27
12;61;01;1;0950463;01034;ul.;Beniowskiego;Maurycego;2021-11-27
12;61;01;1;0950463;01044;ul.;Berberysowa;;2021-11-27
12;61;01;1;0950463;01048;ul.;Berdyczowska;;2021-11-27
12;61;01;1;0950463;01052;ul.;Berenta;Wacława;2021-11-27
12;61;01;1;0950463;01087;ul.;Bernardyńska;;2021-11-27
12;61;01;1;0950463;01098;ul.;Berwińskiego;Ryszarda;2021-11-27
12;61;01;1;0950463;01103;ul.;Beskidzka;;2021-11-27
12;61;01;1;0950463;28981;ul.;Betlejemska;;2021-11-27
12;61;01;1;0950463;01114;ul.;Betonowa;;2021-11-27
12;61;01;1;0950463;01127;ul.;Będzińska;;2021-11-27
12;61;01;1;0950463;01132;ul.;Biała;;2021-11-27
12;61;01;1;0950463;01135;ul.;Biała Droga;;2021-11-27
12;61;01;1;0950463;37206;ul.;Białe Wzgórze;;2021-11-27
12;61;01;1;0950463;01180;ul.;Białoprądnicka;;2021-11-27
12;61;01;1;0950463;01182;ul.;Białoruska;;2021-11-27
12;61;01;1;0950463;01184;ul.;Białostocka;;2021-11-27
12;61;01;1;0950463;27038;ul.;Białych Brzóz;;2021-11-27
12;61;01;1;0950463;01207;ul.;Bibicka;;2021-11-27
12;61;01;1;0950463;01239;ul.;Bielaka;Franciszka;2021-11-27
12;61;01;1;0950463;01244;ul.;Bielańska;;2021-11-27
12;61;01;1;0950463;27649;ul.;Bielańskiego;inż. Adama;2021-11-27
12;61;01;1;0950463;01280;ul.;Bielskiego;Marcina;2021-11-27
12;61;01;1;0950463;52984;ul.;Bieniarzówny;Profesor Janiny;2021-11-27
12;61;01;1;0950463;01290;ul.;Bieńczycka;;2021-11-27
12;61;01;1;0950463;28800;pl.;Bieńczycki Plac Targowy;;2021-11-27
12;61;01;1;0950463;01298;ul.;Bierkowskiego;Ludwika;2021-11-27
12;61;01;1;0950463;01305;ul.;Biernackiego;Edmunda;2021-11-27
12;61;01;1;0950463;01311;ul.;Biernata z Lublina;;2021-11-27
12;61;01;1;0950463;28683;ul.;Biesiadna;;2021-11-27
12;61;01;1;0950463;01326;ul.;Bieszczadzka;;2021-11-27
12;61;01;1;0950463;01329;ul.;Bieżanowska;;2021-11-27
12;61;01;1;0950463;30254;ul.;Billewiczów;;2021-11-27
12;61;01;1;0950463;29942;ul.;Birkuta;Mateusza;2021-11-27
